ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
A UN,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AA UN,Materials,Materials,Metals & Mining,Aluminum
AADI UR,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AAL UW,Industrials,Transportation,Passenger Airlines,Passenger Airlines
AAN UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Homefurnishing Retail
AAON UW,Industrials,Capital Goods,Building Products,Building Products
AAP UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
AAPL UW,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
AAT UN,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
ABBV UN,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABC UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
ABCB UW,Financials,Banks,Banks,Regional Banks
ABCL UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ABG UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ABM UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
ABNB UW,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
ABR UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ABSI UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ABT UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ABUS UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AC UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
ACA UN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ACAD UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACCD UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ACCO UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
ACDC UW,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
ACEL UN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
ACET UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACGL UW,Financials,Insurance,Insurance,Property & Casualty Insurance
ACHC UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Facilities
ACHR UN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ACI UN,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Retail
ACIW UW,Information Technology,Software & Services,Software,Application Software
ACLS UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
ACLX UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACM UN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
ACMR UQ,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
ACN UN,Information Technology,Software & Services,IT Services,IT Consulting & Other Services
ACNB UR,Financials,Banks,Banks,Regional Banks
ACRE UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ACRS UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ACRV UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ACT UW,Financials,Financial Services,Financial Services,Commercial & Residential Mortg
ACVA UW,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Diversified Support Services
ADBE UW,Information Technology,Software & Services,Software,Application Software
ADC UN,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
ADEA UW,Information Technology,Software & Services,Software,Systems Software
ADI UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ADM UN,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic
ADMA UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ADNT UN,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
ADP UW,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ADPT UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
ADSK UW,Information Technology,Software & Services,Software,Application Software
ADT UN,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Specialized Consumer Services
ADTH UR,Communication Services,Media & Entertainment,Media,Advertising
ADTN UW,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ADUS UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ADV UW,Communication Services,Media & Entertainment,Media,Advertising
AEE UN,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AEIS UW,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
AEL UN,Financials,Insurance,Insurance,Life & Health Insurance
AEO UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
AEP UW,Utilities,Utilities,Electric Utilities,Electric Utilities
AES UN,Utilities,Utilities,Independent Power and Renewabl,Independent Power Producers &
AEVA UN,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
AFCG UQ,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AFG UN,Financials,Insurance,Insurance,Property & Casualty Insurance
AFL UN,Financials,Insurance,Insurance,Life & Health Insurance
AFMD UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AFRM UW,Financials,Financial Services,Financial Services,Transaction & Payment Processi
AGCO UN,Industrials,Capital Goods,Machinery,Agricultural & Farm Machinery
AGEN UR,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGIO UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AGL UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AGM UN,Financials,Financial Services,Financial Services,Commercial & Residential Mortg
AGNC UW,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AGO UN,Financials,Insurance,Insurance,Property & Casualty Insurance
AGR UN,Utilities,Utilities,Electric Utilities,Electric Utilities
AGTI UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AGX UN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AGYS UW,Information Technology,Software & Services,Software,Application Software
AHCO UR,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Distributors
AHH UN,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
AHT UN,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs
AI UN,Information Technology,Software & Services,Software,Application Software
AIG UN,Financials,Insurance,Insurance,Multi-line Insurance
AIN UN,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
AIP UQ,Information Technology,Software & Services,Software,Systems Software
AIR UN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AIRC UN,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIRS UQ,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AIT UN,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
AIV UN,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AIZ UN,Financials,Insurance,Insurance,Multi-line Insurance
AJG UN,Financials,Insurance,Insurance,Insurance Brokers
AJRD UN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AKA UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
AKAM UW,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
AKR UN,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
AKRO UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AKTS UR,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
AKYA UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AL UN,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
ALB UN,Materials,Materials,Chemicals,Specialty Chemicals
ALCO UW,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic
ALE UN,Utilities,Utilities,Electric Utilities,Electric Utilities
ALEC UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALEX UN,Real Estate,Equity Real Estate Investment,Diversified REITs,Diversified REITs
ALG UN,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ALGM UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
ALGN UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
ALGT UW,Industrials,Transportation,Passenger Airlines,Passenger Airlines
ALHC UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
ALIT UN,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ALK UN,Industrials,Transportation,Passenger Airlines,Passenger Airlines
ALKS UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALKT UW,Information Technology,Software & Services,Software,Application Software
ALL UN,Financials,Insurance,Insurance,Property & Casualty Insurance
ALLE UN,Industrials,Capital Goods,Building Products,Building Products
ALLO UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALLY UN,Financials,Financial Services,Consumer Finance,Consumer Finance
ALNY UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALPN UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALRM UW,Information Technology,Software & Services,Software,Application Software
ALRS UR,Financials,Financial Services,Financial Services,Diversified Financial Services
ALSN UN,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ALTG UN,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
ALTO UR,Materials,Materials,Chemicals,Specialty Chemicals
ALTR UW,Information Technology,Software & Services,Software,Application Software
ALVR UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ALX UN,Real Estate,Equity Real Estate Investment,Retail REITs,Retail REITs
ALXO UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AM UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
AMAL UQ,Financials,Banks,Banks,Regional Banks
AMAT UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
AMBA UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AMBC UN,Financials,Insurance,Insurance,Property & Casualty Insurance
AMBP UN,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
AMC UN,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
AMCR UN,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
AMCX UW,Communication Services,Media & Entertainment,Media,Broadcasting
AMD UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AME UN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMED UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMEH UR,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMG UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AMGN UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AMH UN,Real Estate,Equity Real Estate Investment,Residential REITs,Single-Family Residential REIT
AMK UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AMKR UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
AMLX UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMN UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AMNB UW,Financials,Banks,Banks,Regional Banks
AMOT UQ,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AMP UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AMPH UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMPL UR,Information Technology,Software & Services,Software,Application Software
AMPS UN,Utilities,Utilities,Independent Power and Renewabl,Renewable Electricity
AMPY UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
AMR UN,Materials,Materials,Metals & Mining,Steel
AMRC UN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
AMRK UW,Financials,Financial Services,Financial Services,Specialized Finance
AMRS UW,Materials,Materials,Chemicals,Specialty Chemicals
AMRX UN,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AMSF UW,Financials,Insurance,Insurance,Property & Casualty Insurance
AMSWA UW,Information Technology,Software & Services,Software,Application Software
AMT UN,Real Estate,Equity Real Estate Investment,Specialized REITs,Telecom Tower REITs
AMTB UW,Financials,Banks,Banks,Regional Banks
AMTX UQ,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
AMWD UW,Industrials,Capital Goods,Building Products,Building Products
AMWL UN,Health Care,Health Care Equipment & Servic,Health Care Technology,Health Care Technology
AMZN UW,Consumer Discretionary,Consumer Discretionary Distrib,Broadline Retail,Broadline Retail
AN UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ANAB UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ANDE UW,Consumer Staples,Consumer Staples Distribution,Consumer Staples Distribution,Food Distributors
ANET UN,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
ANF UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Apparel Retail
ANGO UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ANIK UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ANIP UQ,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ANSS UW,Information Technology,Software & Services,Software,Application Software
ANTX UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AOMR UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
AON UN,Financials,Insurance,Insurance,Insurance Brokers
AORT UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
AOS UN,Industrials,Capital Goods,Building Products,Building Products
AOSL UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
APA UW,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
APAM UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
APD UN,Materials,Materials,Chemicals,Industrial Gases
APEI UW,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
APG UN,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
APH UN,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
APLD UW,Information Technology,Software & Services,Software,Application Software
APLE UN,Real Estate,Equity Real Estate Investment,Hotel & Resort REITs,Hotel & Resort REITs
APLS UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
APO UN,Financials,Financial Services,Financial Services,Diversified Financial Services
APOG UW,Industrials,Capital Goods,Building Products,Building Products
APP UW,Information Technology,Software & Services,Software,Application Software
APPF UQ,Information Technology,Software & Services,Software,Application Software
APPH UW,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Agricultural Products & Servic
APPN UQ,Information Technology,Software & Services,Software,Systems Software
APPS UR,Information Technology,Software & Services,Software,Application Software
APTV UN,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
AR UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
ARCB UW,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
ARCH UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
ARCT UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ARE UN,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
AREN UA,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
ARES UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
ARGO UN,Financials,Insurance,Insurance,Property & Casualty Insurance
ARI UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ARIS UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Environmental & Facilities Ser
ARKO UR,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
ARL UN,Real Estate,Real Estate Management & Devel,Real Estate Management & Devel,Real Estate Operating Companie
ARLO UN,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Equipment & Instrum
ARMK UN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Restaurants
ARNC UN,Materials,Materials,Metals & Mining,Aluminum
AROC UN,Energy,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
AROW UW,Financials,Banks,Banks,Regional Banks
ARQT UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ARR UN,Financials,Financial Services,Mortgage Real Estate Investmen,Mortgage REITs
ARRY UQ,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
ARTNA UW,Utilities,Utilities,Water Utilities,Water Utilities
ARVN UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ARW UN,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors
ARWR UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ASAN UN,Information Technology,Software & Services,Software,Application Software
ASB UN,Financials,Banks,Banks,Regional Banks
ASC UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transporta
ASGN UN,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
ASH UN,Materials,Materials,Chemicals,Specialty Chemicals
ASIX UN,Materials,Materials,Chemicals,Commodity Chemicals
ASLE UR,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ASO UW,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
ASPN UN,Materials,Materials,Chemicals,Specialty Chemicals
ASTE UW,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
ASTR UR,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ATEC UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ATEN UN,Information Technology,Software & Services,Software,Systems Software
ATER UR,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Household Appliances
ATEX UR,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers
ATGE UN,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
ATHA UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
ATI UN,Materials,Materials,Metals & Mining,Steel
ATIP UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
ATKR UN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
ATLC UW,Financials,Financial Services,Consumer Finance,Consumer Finance
ATNI UW,Communication Services,Telecommunication Services,Diversified Telecommunication,Integrated Telecommunication S
ATO UN,Utilities,Utilities,Gas Utilities,Gas Utilities
ATOM UR,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
ATR UN,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
ATRA UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
ATRC UQ,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
ATRI UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
ATRO UW,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
ATSG UW,Industrials,Transportation,Air Freight & Logistics,Air Freight & Logistics
ATUS UN,Communication Services,Media & Entertainment,Media,Cable & Satellite
ATVI UW,Communication Services,Media & Entertainment,Entertainment,Interactive Home Entertainment
AUB UN,Financials,Banks,Banks,Regional Banks
AUPH UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AURA UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AVA UN,Utilities,Utilities,Multi-Utilities,Multi-Utilities
AVAH UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
AVAV UW,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AVB UN,Real Estate,Equity Real Estate Investment,Residential REITs,Multi-Family Residential REITs
AVD UN,Materials,Materials,Chemicals,Fertilizers & Agricultural Che
AVDX UW,Financials,Financial Services,Financial Services,Transaction & Payment Processi
AVGO UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
AVID UW,Information Technology,Technology Hardware & Equipmen,"Technology Hardware, Storage &","Technology Hardware, Storage &"
AVIR UW,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AVNS UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
AVNT UN,Materials,Materials,Chemicals,Specialty Chemicals
AVNW UW,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
AVO UW,Consumer Staples,"Food, Beverage & Tobacco",Food Products,Packaged Foods & Meats
AVPT UW,Information Technology,Software & Services,Software,Application Software
AVT UW,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Technology Distributors
AVTA UW,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
AVTE UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AVTR UN,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AVXL UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
AVY UN,Materials,Materials,Containers & Packaging,Paper & Plastic Packaging Prod
AWI UN,Industrials,Capital Goods,Building Products,Building Products
AWK UN,Utilities,Utilities,Water Utilities,Water Utilities
AWR UN,Utilities,Utilities,Water Utilities,Water Utilities
AX UN,Financials,Banks,Banks,Regional Banks
AXGN UR,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
AXL UN,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
AXNX UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
AXON UW,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
AXP UN,Financials,Financial Services,Consumer Finance,Consumer Finance
AXS UN,Financials,Insurance,Insurance,Property & Casualty Insurance
AXSM UQ,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
AXTA UN,Materials,Materials,Chemicals,Specialty Chemicals
AXTI UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductor Materials & Equi
AYI UN,Industrials,Capital Goods,Electrical Equipment,Electrical Components & Equipm
AYX UN,Information Technology,Software & Services,Software,Application Software
AZEK UN,Industrials,Capital Goods,Building Products,Building Products
AZO UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
AZPN UW,Information Technology,Software & Services,Software,Application Software
AZTA UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
AZZ UN,Industrials,Capital Goods,Building Products,Building Products
B UN,Industrials,Capital Goods,Machinery,Industrial Machinery & Supplie
BA UN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
BAC UN,Financials,Banks,Banks,Diversified Banks
BAH UN,Industrials,Commercial & Professional Serv,Professional Services,Research & Consulting Services
BALL UN,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
BALY UN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Casinos & Gaming
BANC UN,Financials,Banks,Banks,Regional Banks
BAND UW,Communication Services,Telecommunication Services,Diversified Telecommunication,Alternative Carriers
BANF UW,Financials,Banks,Banks,Regional Banks
BANR UW,Financials,Banks,Banks,Regional Banks
BARK UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
BASE UW,Information Technology,Software & Services,Software,Application Software
BATL UA,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
BATRA UW,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
BATRK UW,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
BAX UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
BBCP UR,Industrials,Capital Goods,Construction & Engineering,Construction & Engineering
BBIG UR,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
BBIO UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
BBLN UN,Health Care,Health Care Equipment & Servic,Health Care Technology,Health Care Technology
BBSI UW,Industrials,Commercial & Professional Serv,Professional Services,Human Resource & Employment Se
BBUC UN,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
BBW UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
BBWI UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Other Specialty Retail
BBY UN,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Computer & Electronics Retail
BC UN,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
BCBP UQ,Financials,Banks,Banks,Regional Banks
BCC UN,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
BCML UW,Financials,Banks,Banks,Regional Banks
BCO UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Security & Alarm Services
BCOV UW,Information Technology,Software & Services,IT Services,Internet Services & Infrastruc
BCPC UW,Materials,Materials,Chemicals,Specialty Chemicals
BCRX UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
BDC UN,Information Technology,Technology Hardware & Equipmen,"Electronic Equipment, Instrume",Electronic Components
BDN UN,Real Estate,Equity Real Estate Investment,Office REITs,Office REITs
BDX UN,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Equipment
BE UN,Industrials,Capital Goods,Electrical Equipment,Heavy Electrical Equipment
BEAM UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
BECN UW,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
BEN UN,Financials,Financial Services,Capital Markets,Asset Management & Custody Ban
BEPC UN,Utilities,Utilities,Independent Power and Renewabl,Renewable Electricity
BERY UN,Materials,Materials,Containers & Packaging,"Metal, Glass & Plastic Contain"
BF/A UN,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
BF/B UN,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Distillers & Vintners
BFAM UN,Consumer Discretionary,Consumer Services,Diversified Consumer Services,Education Services
BFC UR,Financials,Banks,Banks,Regional Banks
