ticker,GICS_SECTOR_NAME,GICS_INDUSTRY_GROUP_NAME,GICS_INDUSTRY_NAME,GICS_SUB_INDUSTRY_NAME
MLM UN,Materials,Materials,Construction Materials,Construction Materials
MLNK UN,Information Technology,Software & Services,Software,Application Software
MLR UN,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
MLYS UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
MMC UN,Financials,Insurance,Insurance,Insurance Brokers
MMI UN,Real Estate,Real Estate Management & Devel,Real Estate Management & Devel,Real Estate Services
MMM UN,Industrials,Capital Goods,Industrial Conglomerates,Industrial Conglomerates
MMS UN,Industrials,Commercial & Professional Serv,Professional Services,Data Processing & Outsourced S
MMSI UW,Health Care,Health Care Equipment & Servic,Health Care Equipment & Suppli,Health Care Supplies
MNKD UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
MNRO UW,Consumer Discretionary,Consumer Discretionary Distrib,Specialty Retail,Automotive Retail
MNST UW,Consumer Staples,"Food, Beverage & Tobacco",Beverages,Soft Drinks & Non-alcoholic Be
MNTK UR,Utilities,Utilities,Independent Power and Renewabl,Renewable Electricity
MNTS UW,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
MO UN,Consumer Staples,"Food, Beverage & Tobacco",Tobacco,Tobacco
MOD UN,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
MODG UN,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
MODN UN,Information Technology,Software & Services,Software,Application Software
MODV UW,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Health Care Services
MOFG UW,Financials,Banks,Banks,Regional Banks
MOG/A UN,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
MOH UN,Health Care,Health Care Equipment & Servic,Health Care Providers & Servic,Managed Health Care
MORF UQ,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
MORN UW,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
MOS UN,Materials,Materials,Chemicals,Fertilizers & Agricultural Che
MOV UN,Consumer Discretionary,Consumer Durables & Apparel,"Textiles, Apparel & Luxury Goo","Apparel, Accessories & Luxury"
MP UN,Materials,Materials,Metals & Mining,Diversified Metals & Mining
MPAA UW,Consumer Discretionary,Automobiles & Components,Automobile Components,Automotive Parts & Equipment
MPB UQ,Financials,Banks,Banks,Regional Banks
MPC UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Refining & Marketing
MPLN UN,Health Care,Health Care Equipment & Servic,Health Care Technology,Health Care Technology
MPW UN,Real Estate,Equity Real Estate Investment,Health Care REITs,Health Care REITs
MPWR UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
MPX UN,Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,Leisure Products
MQ UW,Financials,Financial Services,Financial Services,Transaction & Payment Processi
MRC UN,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
MRCY UW,Industrials,Capital Goods,Aerospace & Defense,Aerospace & Defense
MRK UN,Health Care,"Pharmaceuticals, Biotechnology",Pharmaceuticals,Pharmaceuticals
MRNA UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
MRO UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
MRSN UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
MRTN UW,Industrials,Transportation,Ground Transportation,Cargo Ground Transportation
MRTX UW,Health Care,"Pharmaceuticals, Biotechnology",Biotechnology,Biotechnology
MRVI UW,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
MRVL UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
MS UN,Financials,Financial Services,Capital Markets,Investment Banking & Brokerage
MSA UN,Industrials,Commercial & Professional Serv,Commercial Services & Supplies,Office Services & Supplies
MSBI UW,Financials,Banks,Banks,Regional Banks
MSCI UN,Financials,Financial Services,Capital Markets,Financial Exchanges & Data
MSEX UW,Utilities,Utilities,Water Utilities,Water Utilities
MSFT UW,Information Technology,Software & Services,Software,Systems Software
MSGE UN,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
MSGS UN,Communication Services,Media & Entertainment,Entertainment,Movies & Entertainment
MSI UN,Information Technology,Technology Hardware & Equipmen,Communications Equipment,Communications Equipment
MSM UN,Industrials,Capital Goods,Trading Companies & Distributo,Trading Companies & Distributo
MSTR UW,Information Technology,Software & Services,Software,Application Software
MTB UN,Financials,Banks,Banks,Regional Banks
MTCH UW,Communication Services,Media & Entertainment,Interactive Media & Services,Interactive Media & Services
MTD UN,Health Care,"Pharmaceuticals, Biotechnology",Life Sciences Tools & Services,Life Sciences Tools & Services
MTDR UN,Energy,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Produc
MTG UN,Financials,Financial Services,Financial Services,Commercial & Residential Mortg
MTH UN,Consumer Discretionary,Consumer Durables & Apparel,Household Durables,Homebuilding
MTN UN,Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",Leisure Facilities
MTRN UN,Materials,Materials,Metals & Mining,Diversified Metals & Mining
MTSI UW,Information Technology,Semiconductors & Semiconductor,Semiconductors & Semiconductor,Semiconductors
MTTR UQ,Information Technology,Software & Services,Software,Application Software
MTW UN,Industrials,Capital Goods,Machinery,Construction Machinery & Heavy
